Year,Cause Name,State,Deaths,Age-adjusted Death Rate
2002,All causes,Rhode Island,10246,823.0
2001,All causes,Rhode Island,10021,816.9
2000,All causes,Rhode Island,10027,823.7
1999,All causes,Rhode Island,9708,807.5
2016,All causes,South Carolina,48130,829.8
2015,All causes,South Carolina,47198,840.0
2014,All causes,South Carolina,45454,829.1
2013,All causes,South Carolina,44582,837.8
2012,All causes,South Carolina,43198,835.2
2011,All causes,South Carolina,42072,839.5
2010,All causes,South Carolina,41614,854.8
2009,All causes,South Carolina,40449,846.9
2008,All causes,South Carolina,40289,867.0
2007,All causes,South Carolina,39439,873.9
2006,All causes,South Carolina,38761,886.8
2005,All causes,South Carolina,38707,920.9
2004,All causes,South Carolina,37276,909.5
2003,All causes,South Carolina,38112,952.7
2002,All causes,South Carolina,37736,964.3
2001,All causes,South Carolina,36612,949.6
2000,All causes,South Carolina,36948,980.2
1999,All causes,South Carolina,36053,973.5
2016,All causes,South Dakota,7845,719.5
2015,All causes,South Dakota,7731,715.4
2014,All causes,South Dakota,7507,710.4
2013,All causes,South Dakota,7099,679.3
2012,All causes,South Dakota,7333,712.3
2011,All causes,South Dakota,7314,720.6
2010,All causes,South Dakota,7100,715.1
2009,All causes,South Dakota,6923,706.2
2008,All causes,South Dakota,7083,731.9
2007,All causes,South Dakota,6826,712.9
2006,All causes,South Dakota,7084,752.5
2005,All causes,South Dakota,7086,770.7
2004,All causes,South Dakota,6833,752.4
2003,All causes,South Dakota,7132,796.6
2002,All causes,South Dakota,6898,778.6
2001,All causes,South Dakota,6923,790.0
2000,All causes,South Dakota,7021,805.7
1999,All causes,South Dakota,6953,808.4
2016,All causes,Tennessee,67857,886.3
2015,All causes,Tennessee,66570,886.4
2014,All causes,Tennessee,64661,880.0
2013,All causes,Tennessee,63406,881.1
2012,All causes,Tennessee,61956,880.6
2011,All causes,Tennessee,60541,879.0
2010,All causes,Tennessee,59578,890.8
2009,All causes,Tennessee,58288,885.6
2008,All causes,Tennessee,58820,913.4
2007,All causes,Tennessee,57087,905.4
2006,All causes,Tennessee,56838,921.2
2005,All causes,Tennessee,57260,956.6
2004,All causes,Tennessee,55829,952.8
2003,All causes,Tennessee,57313,994.0
2002,All causes,Tennessee,56606,995.3
2001,All causes,Tennessee,55151,979.5
2000,All causes,Tennessee,55246,996.9
1999,All causes,Tennessee,53765,980.4
2016,All causes,Texas,191966,730.6
2015,All causes,Texas,189654,745.0
2014,All causes,Texas,183912,745.3
2013,All causes,Texas,179183,751.6
2012,All causes,Texas,174187,753.3
2011,All causes,Texas,168640,751.6
2010,All causes,Texas,166527,772.3
2009,All causes,Texas,163249,772.1
2008,All causes,Texas,164914,803.6
2007,All causes,Texas,160548,803.1
2006,All causes,Texas,157150,807.7
2005,All causes,Texas,156457,832.1
2004,All causes,Texas,152870,835.9
2003,All causes,Texas,154870,865.1
2002,All causes,Texas,155524,888.4
2001,All causes,Texas,152779,888.9
2000,All causes,Texas,149939,891.0
1999,All causes,Texas,146858,886.6
2016,All causes,Utah,17913,714.7
2015,All causes,Utah,17334,712.1
2014,All causes,Utah,16719,709.6
2013,All causes,Utah,16366,710.4
2012,All causes,Utah,15676,700.0
2011,All causes,Utah,15266,699.1
2010,All causes,Utah,14776,703.2
2009,All causes,Utah,14138,686.5
2008,All causes,Utah,14040,703.8
2007,All causes,Utah,14143,729.4
2006,All causes,Utah,13764,733.7
2005,All causes,Utah,13432,749.4
2004,All causes,Utah,13331,768.8
2003,All causes,Utah,13412,793.6
2002,All causes,Utah,13116,794.0
2001,All causes,Utah,12662,785.2
2000,All causes,Utah,12364,788.6
1999,All causes,Utah,12058,781.6
2016,All causes,Vermont,5909,712.8
2015,All causes,Vermont,5919,714.7
2014,All causes,Vermont,5623,694.8
2013,All causes,Vermont,5639,710.6
2012,All causes,Vermont,5491,700.1
2011,All causes,Vermont,5433,711.0
2010,All causes,Vermont,5380,718.7
2009,All causes,Vermont,5034,683.2
2008,All causes,Vermont,5211,722.5
2007,All causes,Vermont,5179,733.0
2006,All causes,Vermont,5048,728.0
2005,All causes,Vermont,5066,751.6
2004,All causes,Vermont,4995,749.4
2003,All causes,Vermont,5120,779.7
2002,All causes,Vermont,5075,786.8
2001,All causes,Vermont,5201,819.6
2000,All causes,Vermont,5127,821.8
1999,All causes,Vermont,4993,812.9
2016,All causes,Virginia,66473,715.5
2015,All causes,Virginia,65577,721.6
2014,All causes,Virginia,63598,717.5
2013,All causes,Virginia,62716,724.8
2012,All causes,Virginia,61564,730.2
2011,All causes,Virginia,60804,741.6
2010,All causes,Virginia,59032,741.6
2009,All causes,Virginia,58653,750.8
2008,All causes,Virginia,59100,776.7
2007,All causes,Virginia,58225,784.0
2006,All causes,Virginia,57690,795.0
2005,All causes,Virginia,57855,817.4
2004,All causes,Virginia,56550,820.5
2003,All causes,Virginia,58282,863.3
2002,All causes,Virginia,57196,865.9
2001,All causes,Virginia,56280,869.9
2000,All causes,Virginia,56282,890.4
1999,All causes,Virginia,55320,889.6
2016,All causes,Washington,54769,672.0
2015,All causes,Washington,54595,687.4
2014,All causes,Washington,52099,672.9
2013,All causes,Washington,51264,679.3
2012,All causes,Washington,50105,681.5
2011,All causes,Washington,49691,690.4
2010,All causes,Washington,48146,692.3
2009,All causes,Washington,48270,708.4
2008,All causes,Washington,48627,734.3
2007,All causes,Washington,47323,731.9
2006,All causes,Washington,46120,731.2
2005,All causes,Washington,46203,757.6
2004,All causes,Washington,44770,751.9
2003,All causes,Washington,45920,789.2
2002,All causes,Washington,45338,795.0
2001,All causes,Washington,44642,799.4
2000,All causes,Washington,43941,804.6
1999,All causes,Washington,43865,815.1
2016,All causes,West Virginia,22732,943.3
2015,All causes,West Virginia,22752,943.4
2014,All causes,West Virginia,22186,929.1
2013,All causes,West Virginia,21843,923.8
2012,All causes,West Virginia,21915,939.3
2011,All causes,West Virginia,21867,953.2
2010,All causes,West Virginia,21275,933.6
2009,All causes,West Virginia,21386,947.7
2008,All causes,West Virginia,21557,964.3
2007,All causes,West Virginia,21086,954.2
2006,All causes,West Virginia,20672,947.5
2005,All causes,West Virginia,20780,965.1
2004,All causes,West Virginia,20793,973.0
2003,All causes,West Virginia,21306,1003.1
2002,All causes,West Virginia,21016,999.0
2001,All causes,West Virginia,20967,1000.9
2000,All causes,West Virginia,21114,1011.1
1999,All causes,West Virginia,21049,1012.3
2016,All causes,Wisconsin,51815,717.9
2015,All causes,Wisconsin,51264,715.9
2014,All causes,Wisconsin,50291,712.1
2013,All causes,Wisconsin,50026,720.1
2012,All causes,Wisconsin,48384,707.8
2011,All causes,Wisconsin,48410,721.1
2010,All causes,Wisconsin,47308,719.0
2009,All causes,Wisconsin,45697,703.0
2008,All causes,Wisconsin,46815,730.3
2007,All causes,Wisconsin,46241,734.2
2006,All causes,Wisconsin,46153,745.3
2005,All causes,Wisconsin,46709,765.9
2004,All causes,Wisconsin,45600,760.0
2003,All causes,Wisconsin,46177,780.1
2002,All causes,Wisconsin,46981,806.1
2001,All causes,Wisconsin,46628,812.5
2000,All causes,Wisconsin,46461,820.1
1999,All causes,Wisconsin,46672,831.5
2016,All causes,Wyoming,4722,720.9
2015,All causes,Wyoming,4778,748.3
2014,All causes,Wyoming,4666,742.4
2013,All causes,Wyoming,4516,731.7
2012,All causes,Wyoming,4481,748.3
2011,All causes,Wyoming,4387,754.6
2010,All causes,Wyoming,4438,778.8
2009,All causes,Wyoming,4283,769.6
2008,All causes,Wyoming,4227,778.9
2007,All causes,Wyoming,4266,806.5
2006,All causes,Wyoming,4311,831.1
2005,All causes,Wyoming,4099,806.5
2004,All causes,Wyoming,3955,794.8
2003,All causes,Wyoming,4172,857.7
2002,All causes,Wyoming,4174,878.2
2001,All causes,Wyoming,4029,858.8
2000,All causes,Wyoming,3920,851.8
1999,All causes,Wyoming,4042,895.4
